V2X_MESSAGE_TRANSMISSION;15900000000;139;veh_0;AutobotMessage
VEHICLE_UPDATES;16000000000;veh_0;52.51236505438812;13.320117672429062;13.548753139490728;84.71138280285957
VEHICLE_UPDATES;16000000000;veh_1;52.512241682041065;13.318785168521469;13.715065990677104;84.71153588196714
V2X_MESSAGE_TRANSMISSION;16000000000;140;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;16100000000;141;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;16200000000;142;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;16300000000;143;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;16400000000;144;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;16500000000;145;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;16600000000;146;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;16700000000;147;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;16800000000;148;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;16900000000;149;veh_0;AutobotMessage
VEHICLE_UPDATES;17000000000;veh_0;52.512379169321505;13.320316963850054;13.558660383147654;84.71138280285957
VEHICLE_UPDATES;17000000000;veh_1;52.51228499778325;13.318987429989221;13.248146951592062;84.71138280285943
V2X_MESSAGE_TRANSMISSION;17000000000;150;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;17100000000;151;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;17200000000;152;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;17300000000;153;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;17400000000;154;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;17500000000;155;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;17600000000;156;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;17700000000;157;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;17800000000;158;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;17900000000;159;veh_0;AutobotMessage
VEHICLE_UPDATES;18000000000;veh_0;52.512381724431954;13.320519366707696;13.707267550562975;92.42588453981642
VEHICLE_UPDATES;18000000000;veh_1;52.51229807261822;13.319172010367817;12.55785294591682;84.71138280285943
V2X_MESSAGE_TRANSMISSION;18000000000;160;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;18100000000;161;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;18200000000;162;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;18300000000;163;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;18400000000;164;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;18500000000;165;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;18600000000;166;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;18700000000;167;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;18800000000;168;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;18900000000;169;veh_0;AutobotMessage
VEHICLE_UPDATES;19000000000;veh_0;52.512371622400615;13.32071636813363;13.553330618350302;102.6826739771659
VEHICLE_UPDATES;19000000000;veh_1;52.512311375232855;13.319359810641348;12.776909123801161;84.71138280285957
V2X_MESSAGE_TRANSMISSION;19000000000;170;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;19100000000;171;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;19200000000;172;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;19300000000;173;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;19400000000;174;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;19500000000;175;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;19600000000;176;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;19700000000;177;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;19800000000;178;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;19900000000;179;veh_0;AutobotMessage
VEHICLE_UPDATES;20000000000;veh_0;52.51231379501069;13.320894761113259;13.151299803620205;119.32924575464914
VEHICLE_UPDATES;20000000000;veh_1;52.51232572543378;13.319562405101472;13.78341595186852;84.71138280285943
